box,path,bytes,sha256,proposed_effect,pre_signature_status,note
1,00_THE_WELTANSCHAUUNG_PENDING_SIGNATURE.md,16946,a3df11c98f14f3c35f7fcfc89b79dbf1e213dadfc11b5f72aa72dab7a6563967,ADOPT_AS_DOOR_AT_INLINE_TIERS,HOLD_FOR_EXPLICIT_NATURAL_PERSON_DECISION,Final independent review and explicit founder naming required.
2,00_THE_KERNEL_INDEX_PENDING_SIGNATURE.md,10034,c3daef7859be63db764155f817a9baee0ccca469f5ec2ee463c9f5254eb9e8d1,ADOPT_AS_ROUTER_NOT_SOURCE_AUTHORITY,HOLD_FOR_EXPLICIT_NATURAL_PERSON_DECISION,K-6 path/count and K-7 owner rows must match final decisions.
3,06_ONTOLOGY/03_THE_EMERGENT_AXIOMS.md,15338,a6d7370ba8c6763e06cd3d16987e49c9bb7f9ce3b2c0f4ea53223b0588a5836c,E1_E10_SUCCESSOR_OR_DECLINE,HOLD_FOR_EXPLICIT_NATURAL_PERSON_DECISION,A1–A7 controls unless founder explicitly chooses succession.
4,06_ONTOLOGY/04_THE_CONJECTURES.md,6833,7ba3895ab587f71fdd4ba3d68b3fa6aba9eaec45027015a52fc7c5ab6c51a192,ADOPT_W0_W12_AS_WAGERS_ONLY,HOLD_FOR_EXPLICIT_NATURAL_PERSON_DECISION,No disclosure/theorem promotion implied.
5,06_ONTOLOGY/02_THE_DEGREES_OF_FREEDOM_ONTOLOGY.md,12823,fc0389ec06ef80ef424ba3a4ea96ca46811f01350804f239120292fa12b1b53f,ADOPT_K2_COMPONENT_AT_INLINE_TIERS,HOLD_FOR_EXPLICIT_NATURAL_PERSON_DECISION,Composite relation and μ debt remain explicit.
5,06_ONTOLOGY/00_WELTANSCHAUUNG_KERNEL_v0.2_EMERGENTISM_ONLY.md,15667,94b300ca89c7379bae1915f8a35b59a32b5041aa9d739f2cce381c5a633f32cf,ADOPT_K2_COMPONENT_AT_INLINE_TIERS,HOLD_FOR_EXPLICIT_NATURAL_PERSON_DECISION,Composite relation and μ debt remain explicit.
6a,00_CONTROL/10_OPEN_CANON_FOUNDATION/00_OPEN_CANON_FOUNDATION_CHARTER_DRAFT_v0.1.md,20164,f54965a17efd623ae461fbe94ad4695a488c2915b919aeac426915b530618bd8,CHARTER_CANDIDATE_A,HOLD_FOR_EXPLICIT_NATURAL_PERSON_DECISION,Founder must name A or B; no default inference.
6b,00_CONTROL/10_OPEN_CANON_FOUNDATION/00_OPEN_CANON_FOUNDATION_CHARTER_v0.1.md,25685,4e108332c0561304394f85f6a3a0696a9dcd954519ccdf2428332c544645c5ac,CHARTER_CANDIDATE_B,HOLD_FOR_EXPLICIT_NATURAL_PERSON_DECISION,Founder must name A or B; counsel/filing remain separate.
7,00_META/00_SETTLED_CANON_REGISTRY.md,37229,9c56f77611de58d01c3e8f56856d7e1345c92c07f77bf123f52edae92be1fb89,POINTER_AMENDMENT_BASE,HOLD_FOR_EXPLICIT_NATURAL_PERSON_DECISION,Every old/new pointer requires a separate row; no blanket line-number authority.
8,10_SEED/01_THE_SEED_LADDER/00_THE_SEED.md,11275,9ac3a3d5f7117abcec44c4b7eebc5a47f635a5eae2366c8f59874b132c8cb7c7,ADOPT_READER_PROJECTION_ONLY,HOLD_FOR_EXPLICIT_NATURAL_PERSON_DECISION,Cold-reader sufficiency remains unproved.
8,10_SEED/01_THE_SEED_LADDER/D0_THE_FLOOR.md,5729,2f80f19d042166889a1018f96ad1f31ac687ce59f93436cb25420ecbee2d173d,ADOPT_READER_PROJECTION_ONLY,HOLD_FOR_EXPLICIT_NATURAL_PERSON_DECISION,Corrected post-L7; final review required.
8,10_SEED/01_THE_SEED_LADDER/D1_ARITHMETIC.md,7434,bba6ee3691bebce09db1d4d6fcba30d68b20aa37f141bed9cfcd9dadf6911317,ADOPT_READER_PROJECTION_ONLY,HOLD_FOR_EXPLICIT_NATURAL_PERSON_DECISION,Corrected post-L7; final review required.
8,10_SEED/01_THE_SEED_LADDER/D2_GEOMETRY.md,5349,8fff3ef1e63d2ac317a3e3d99cd92e81e31c12d0126318607da9043ee0005005,ADOPT_READER_PROJECTION_ONLY,HOLD_FOR_EXPLICIT_NATURAL_PERSON_DECISION,Final review required.
8,10_SEED/01_THE_SEED_LADDER/D3_BODIES.md,6432,d1e36696941157983f9f08c62918707137fec2e0d0bec572f5fbe1f40dbaa1ca,ADOPT_READER_PROJECTION_ONLY,HOLD_FOR_EXPLICIT_NATURAL_PERSON_DECISION,Final review required.
8,10_SEED/01_THE_SEED_LADDER/D4_SPACETIME.md,5281,3ae86cb4c7fc2ddb9a57f4ff50ffa18666c377bba5338c238fc60ea461676933,ADOPT_READER_PROJECTION_ONLY,HOLD_FOR_EXPLICIT_NATURAL_PERSON_DECISION,"D4 spacetime/mind crosswalk must be explicitly named, not defaulted."
8,10_SEED/01_THE_SEED_LADDER/D5_THE_GAME.md,7767,31e438cfd297c667d818416ce7f129f78046160455130f042b56bf445a98d164,ADOPT_READER_PROJECTION_ONLY,HOLD_FOR_EXPLICIT_NATURAL_PERSON_DECISION,Corrected direction/valence and conditional Power-Max; final review required.
8,10_SEED/01_THE_SEED_LADDER/D6_THE_RETURN.md,6814,eea19f44cf84546d909d44ae63343f46ba5682ce90fdc2eacfa654234ab40cd7,ADOPT_READER_PROJECTION_ONLY,HOLD_FOR_EXPLICIT_NATURAL_PERSON_DECISION,Corrected post-L7; final review required.
9,00_META/00_THE_MAGNUM_OPUS_BLUEPRINT_PENDING_SIGNATURE.md,36699,c23e524630c86967e82c33bdd691f28f7dc1886b8afeed4e79247fb89ef0a934,ADOPT_ARCHITECTURE_PROPOSAL_ONLY,HOLD_FOR_EXPLICIT_NATURAL_PERSON_DECISION,Does not authorize physical execution.
9,00_META/05_MAGNUM_OPUS_FILE_DISPOSITION_MANIFEST_PENDING_SIGNATURE_2026_07_19.csv,874000,f967a6a2f64bf56978ea8fff3c98f9a02acee77f7adbd6ed2847e7f7ac04dce5,ADOPT_BASELINE_ROSTER_ONLY,HOLD_FOR_EXPLICIT_NATURAL_PERSON_DECISION,639 rows still need owner review; no motion authorized.
9,00_META/06_MAGNUM_OPUS_FOLDER_DISPOSITION_MANIFEST_PENDING_SIGNATURE_2026_07_19.csv,130503,cd4a7df5a6cf406fcdc95ca070f8ce925b60441c9959a24ad4df14c2e0dff4ca,ADOPT_BASELINE_ROSTER_ONLY,HOLD_FOR_EXPLICIT_NATURAL_PERSON_DECISION,Local front-door debts remain; no motion authorized.
HOLD,00_K5_REFUSALS.md,8611,0ff028db701b1d746d3a31f35225602276e0310a43f5cd19106524cd1a2d313e,DO_NOT_ADOPT_IMPLICITLY,HOLD_FOR_EXPLICIT_NATURAL_PERSON_DECISION,Corrected staging input; K-5 successor requires separate exact box.
HOLD,00_K6_REVELATIONS.md,9371,1877a439574a2123646a7d7bd04b55177b5493920a168c877b716c5ce795ffb8,DO_NOT_ADOPT_IMPLICITLY,HOLD_FOR_EXPLICIT_NATURAL_PERSON_DECISION,Corrected staging input; count/path require separate exact box.
HOLD,00_K7_RECORD.md,9973,1b6b0a97089165dba6c1c84c033ccd32f5579eccb3478598cfdc84d7e6bf670a,DO_NOT_ADOPT_IMPLICITLY,HOLD_FOR_EXPLICIT_NATURAL_PERSON_DECISION,Staging input; bounded Record successor requires separate exact box.
HOLD,00_THE_DISTILLED_DOCTRINE.md,15826,2560320fa5b119a497d6d33e664e6ba3a0dffac5d8be321660787dcdb20a38d3,DERIVATIVE_ONLY,HOLD_FOR_EXPLICIT_NATURAL_PERSON_DECISION,Never an eighth owner; destination unresolved.
HOLD,00_ROSETTA_VALIDATION.md,11085,88480b125cb4aec662aa0aad989316cc9c2db49a72118772bf9def92b9d0732e,REQUEST_CHANGES_EVIDENCE_ONLY,HOLD_FOR_EXPLICIT_NATURAL_PERSON_DECISION,Never validation authority.
EXCLUDE,05_COSMOLOGY/COMPRESSION_REALITY_POSTULATE.md,6078,90286d368c0c5d192d9f4d6ca9456d1758eb8e13f5aa54aee8182b842543300a,RETAIN_D_C_UNDER_OBJECTION,HOLD_FOR_EXPLICIT_NATURAL_PERSON_DECISION,C1–C3 rejected as written; excluded from Receipt 139 adoption.
